Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Greater Atlanta Area Companies With Less Than $1B in Revenue (Top 10K)","9,918","968","86","656","The top 10,000 companies and startups in Greater Atlanta Area with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 8:55 AM","Active, Company, Location, Revenue Range","—","—","—","—","Greater Atlanta Area, Georgia, United States","Regional Area","—","—","—","—","—","—","$500M to $1B","2,179","798","Sep 15, 1997","201","9,395","2%","1%","79","Nov 15, 2007","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","2,168","1","$30,840,913,993","$1,963,622","$22,389,465,368","Sep 15, 1997","$7,877,842,862","$114,000,000","$31,124,569,926","$355,600,110","4%","425","892","$88,308,455,054","$362,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","946","1,356","3","486","3","245","2","43","$2,718,544,102","3,359","2","2","845,343.61","1.32","1.32","1.89"
"Software Companies With More Than $1M in Revenue (Top 10K)","9,615","941","617","657","The top 10,000 companies and startups in the software space with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 11:23 AM","Active, Industry, Company, Revenue Range","—","—","Software","Software","—","—","—","—","—","—","—","—","$1M to $10M","48,497","15,314","Dec 16, 2009","26","9,477","0%","6%","736","Sep 22, 2010","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Private Equity","31,967","3","$505,177,572,055","$7,591,880","$442,355,374,081","Dec 16, 2009","$80,126,070,704","$126,000,500","$679,116,291,926","$980,000,000","23%","2,513","10,963","$635,775,310,947","$255,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator","5,843","7,849","2","2,398","2","1,550","2","193","$126,373,560,704","19,342","22","40","48,004.85","0.7","0.7","0.99"
"Greater Miami Area Companies (Top 10K)","9,898","995","165","658","The top 10,000 companies and startups in Greater Miami Area, by Crunchbase rank.","Sep 15, 2022 10:54 AM","Active, Company, Location","—","—","—","—","Greater Miami Area, Florida, United States","Regional Area","—","—","—","—","—","—",—,"3,364","939","Sep 3, 2001","159","9,173","2%","2%","220","Feb 17, 2008","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Private Equity,&nbsp;Series A","3,101","1","$92,104,452,302","$864,962","$69,454,565,431","Sep 3, 2001","$8,983,222,500","$103,000,000","$64,281,323,865","$527,340,782","7%","806","1,607","$79,645,550,996","$190,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Angel Group","1,786","2,155","2","573","1","397","1","131","$46,269,621,866","5,150","41","77","470,927.48","1.32","1.32","2"
"Venture Capital Investors with Investments in South San Francisco, California","408","3","2","658","Venture capital investors that made investments in companies headquartered in South San Francisco, California.","Sep 15, 2022 10:50 AM","Active, Investments in Location, Investor Type","—","—","—","—","South San Francisco, California, United States","City","—","—","—","—",—,"—",—,"83","14","Jun 9, 1999","1","63","0%","2%","9","Feb 24, 2000",—,"Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B","60","1","$1,686,939,671","$437,000","$549,742,976","Jun 9, 1999","$124,115,060","$124,115,060","$232,095,161","$232,095,161","1%","5","131","$725,000,000","$725,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","51,505","80,136","69","21,717","17","16,436","17","1,462","$634,069,969,004","606",—,"1","180,725.49","0.92","0.92","1.07"
"Western US Property Management Companies","5,362","751","7","659","Companies and startups in Western US in the property management space.","Sep 15, 2022 11:39 AM","Active, Industry, Company, Location","—","—","Property Management","Real Estate","Western US, United States, North America","Regional Area","—","—","—","—","—","—",—,"769","178","Feb 3, 1995","46","5,198","1%","0%","20","Feb 14, 2007","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Debt Financing","408","2","$10,814,504,792","$3,397,500","$7,650,631,869","Feb 3, 1995","$3,145,760,000","$220,000,000","$28,648,000,000","$2,848,000,000","1%","50","132","$14,651,000,000","$963,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Syndicate","35","36","1","9","2","9","1","5","$830,305,079","848","0","0","1,269,347.27","1.27","1.27","1.96"
"Professional Services Companies (Top 10K)","10,000","987","23","660","The top 10,000 companies and startups in the professional services space, by Crunchbase rank.","Sep 15, 2022 10:25 AM","Active, Industry, Company","—","—","Professional Services","Other","—","—","—","—","—","—","—","—",—,"3,108","1,028","Oct 18, 1995","239","9,424","2%","1%","153","Apr 4, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Grant","2,571","1","$28,857,899,124","$662,436","$22,416,597,443","Oct 18, 1995","$6,941,824,021","$112,500,000","$29,506,497,555","$446,501,170","7%","828","1,719","$64,471,434,780","$100,397,729","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Family Investment Office","1,016","1,157","1","453","1","286","1","44","$24,561,155,066","4,600","13","21","399,603.42","1.41","1.41","2.26"
"Private Greater Chicago Area Companies (Top 10K)","9,910","967","263","661","The top 10,000 private companies and startups in Greater Chicago Area, by Crunchbase rank.","Sep 15, 2022 11:24 AM","Active, Company, Location","—","—","—","—","Greater Chicago Area, United States, North America","Regional Area","—","—","—","—","—","—",—,"5,294","1,703","Aug 22, 1991","240","8,993","2%",—,"0",—,—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","4,292","1","$45,626,344,708","$1,041,312","$34,399,650,385","Aug 22, 1991",—,—,—,—,"12%","1,342","1,929","$236,868,856,570","$276,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","4,990","6,806","3","1,760","2","1,301","2","329","$165,968,421,279","6,395","8","12","351,774.92","1.17","1.17","1.9"
"Venture Capital Investors with Investments in Beijing, Beijing","1,264","256","3","661","Venture capital investors that made investments in companies headquartered in Beijing, Beijing.","Sep 15, 2022 11:39 AM","Active, Investments in Location, Investor Type","—","—","—","—","Beijing, Beijing, China","City","—","—","—","—",—,"—",—,"180","49","Oct 12, 2006",—,"140",—,"3%","49","May 2, 2006",—,"Seed,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","106","1","$18,937,139,838",—,"$14,231,339,838","Oct 12, 2006","$15,007,803,795","$1,064,487,008","$221,358,996,448","$16,400,000,000","1%","8","543","$2,500,000,000","$2,500,000,000","Micro VC,&nbsp;Incubator,&nbsp;Hedge Fund,&nbsp;Accelerator,&nbsp;Angel Group","57,064","81,802","12","24,562","5","13,556","3","1,422","$730,907,805,301","952","30","48","584,153.73","0.93","0.93","0.75"
"Greater Chicago Area Companies (Top 10K)","9,990","960","268","662","The top 10,000 companies and startups in Greater Chicago Area, by Crunchbase rank.","Sep 15, 2022 10:57 AM","Active, Company, Location","—","—","—","—","Greater Chicago Area, United States, North America","Regional Area","—","—","—","—","—","—",—,"5,610","1,804","Mar 2, 1991","235","9,084","2%","2%","250","Jan 29, 2004","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Grant","4,589","1","$76,435,480,816","$1,227,510","$48,777,691,448","Mar 2, 1991","$24,031,693,808","$102,400,000","$90,779,670,068","$639,060,369","13%","1,423","3,967","$355,029,280,601","$380,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","5,326","7,182","3","1,914","2","1,412","2","352","$228,281,557,744","6,593","8","12","342,148.33","1.15","1.15","1.87"
"Georgia Companies With Less Than $10M in Revenue (Top 10K)","9,780","987","71","663","The top 10,000 companies and startups in Georgia with less than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 9:17 AM","Active, Company, Location, Revenue Range","—","—","—","—","Georgia, United States, North America","State/Region","—","—","—","—","—","—","$1M to $10M","1,511","538","Jun 28, 1998","228","9,254","2%","0%","26","Jun 23, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Grant","1,555","1","$10,306,168,762","$1,222,904","$7,462,152,246","Jun 28, 1998","$121,110,862","$25,660,862","$454,507,106","$100,500,000","2%","207","259","$3,859,202,081","$65,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","771","1,149","10","394","7","198","4","42","$2,693,544,102","2,810","1","1","992,366.29","1.32","1.32","1.82"
"Leasing Companies With Less Than $50M in Revenue","4,225","440","0","664","Companies and startups in the leasing space with less than $50m in revenue.","Sep 15, 2022 9:10 AM","Active, Industry, Company, Revenue Range","—","—","Leasing","Financial Services","—","—","—","—","—","—","—","—","$10M to $50M","191","60","Jun 25, 1992","14","4,171","0%","2%","103","Feb 27, 2005",—,"Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Private Equity,&nbsp;Undisclosed","148","2","$4,528,497,985","$4,780,000","$2,350,986,769","Jun 25, 1992","$76,500,000","$76,500,000",—,—,"0%","14","26","$30,014,077,855","$8,077,855","Venture Capital","44","46","6","10","4","10","3","5","$360,531,244","418","0","0","1,309,188.45","1.37","1.37","1.96"
"Illinois Companies With Less Than $50M in Revenue (Top 10K)","9,855","985","223","665","The top 10,000 companies and startups in Illinois with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 12:38 PM","Active, Company, Location, Revenue Range","—","—","—","—","Illinois, United States, North America","State/Region","—","—","—","—","—","—","$10M to $50M","3,712","1,147","Jul 19, 1990","275","9,177","3%","0%","44","Oct 20, 2009","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","3,062","1","$23,909,372,425","$1,340,841","$18,514,123,812","Jul 19, 1990","$2,589,566,525","$81,850,000","$5,005,680,719","$296,000,000","5%","490","833","$28,979,068,991","$149,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Family Investment Office","3,558","5,229","5","1,323","4","964","4","249","$81,148,698,691","4,785","4","5","523,113.53","1.3","1.3","2.03"
"Venture Capital Investors with Investments in China","2,652","766","22","666","Venture capital investors that made investments in companies headquartered in China.","Sep 15, 2022 10:59 AM","Active, Investments in Location, Investor Type","—","—","—","—","China, Asia","Country","—","—","—","—",—,"—",—,"274","81","Aug 23, 2007","2","247","0%","3%","93","Apr 16, 2006","0%","Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B","180","1","$20,195,208,071","$1,493,764","$15,354,125,371","Aug 23, 2007","$15,134,803,795","$902,243,504","$337,119,672,587","$10,700,000,000","0%","12","910","$20,654,855,641","$4,014,927,821","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","86,717","124,949","5","36,976","3","21,098","2","2,170","$1,058,966,726,501","1,551","30","48","802,192.75","0.94","0.94","0.75"
"Mechanical Engineering Companies With More Than $1M in Revenue","8,555","956","7","666","Companies and startups in the mechanical engineering space with more than $1m in revenue.","Sep 15, 2022 9:12 AM","Active, Industry, Company, Revenue Range","—","—","Mechanical Engineering","Science and Engineering","—","—","—","—","—","—","—","—","$1M to $10M","595","232","May 24, 1977","10","8,356","0%","1%","105","Apr 28, 2007","0%","Grant,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing","545","1","$7,295,577,327","$1,245,467","$5,991,282,875","May 24, 1977","$2,346,500,000","$302,500,000","$26,361,220,000","$2,200,000,000","1%","96","515","$28,696,977,867","$290,000,000","Micro VC,&nbsp;Venture Capital","78","108","1","32","1","15","1","2","$80,000,000","954","0","0","1,146,511.17","1.2","1.2","1.82"
"Software Companies With Less Than $50M in Revenue (Top 10K)","9,778","949","601","667","The top 10,000 companies and startups in the software space with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 11:04 AM","Active, Industry, Company, Revenue Range","—","—","Software","Software","—","—","—","—","—","—","—","—","$10M to $50M","50,050","15,291","Apr 14, 2012","32","9,619","0%","3%","353","Sep 30, 2013","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","32,842","3","$290,262,081,089","$6,073,834","$273,807,656,919","Apr 14, 2012","$18,562,122,951","$38,800,000","$99,061,926,677","$156,582,336","21%","2,180","3,180","$75,242,893,961","$100,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Micro VC","4,444","6,088","1","1,527","1","859","1","153","$16,012,843,756","20,125","2","5","44,483.11","0.68","0.68","0.95"
"Electronics Companies (Top 10K)","10,000","970","52","668","The top 10,000 companies and startups in the electronics space, by Crunchbase rank.","Sep 15, 2022 10:02 AM","Active, Industry, Company","—","—","Electronics","Consumer Electronics, Hardware","—","—","—","—","—","—","—","—",—,"9,154","2,982","Apr 6, 1992","23","9,633","0%","9%","1,001","May 30, 2005","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Private Equity","7,888","1","$245,954,167,286","$1,502,738","$111,069,841,110","Apr 6, 1992","$25,909,572,237","$113,436,912","$111,100,868,137","$783,729,201","14%","1,587","3,627","$346,374,790,638","$172,502,500","Venture Capital,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Co-Working Space","1,724","1,980","2","600","1","393","1","26","$2,822,589,312","6,627","3","3","275,205.4","1.05","1.05","1.7"
"Venture Capital Investors with Investments in Illinois","1,345","338","38","668","Venture capital investors that made investments in companies headquartered in Illinois.","Sep 15, 2022 11:25 AM","Active, Investments in Location, Investor Type","—","—","—","—","Illinois, United States, North America","State/Region","—","—","—","—",—,"—",—,"313","79","Jan 24, 2005","3","199","0%","2%","27","Apr 26, 2004","0%","Seed,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Series B","220","1","$4,321,215,805","$200,000","$1,716,955,602","Jan 24, 2005","$596,716,993","$110,000,000","$1,679,231,977","$347,638,952","1%","11","921","$30,325,000,000","$3,600,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","98,288","147,444","37","40,448","11","26,178","7","3,149","$1,021,101,511,023","1,995","7","15","205,027.74","0.95","0.95","1.04"
"Ohio Companies With Less Than $500M in Revenue (Top 10K)","9,474","991","46","669","The top 10,000 companies and startups in Ohio with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 8:52 AM","Active, Company, Location, Revenue Range","—","—","—","—","Ohio, United States, North America","State/Region","—","—","—","—","—","—","$100M to $500M","1,723","625","Apr 16, 1982","382","8,808","4%","1%","55","Nov 15, 2005","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A","1,983","1","$15,670,785,439","$1,000,370","$10,813,830,348","Apr 16, 1982","$3,307,128,101","$229,500,000","$19,234,391,825","$1,660,410,910","4%","376","632","$21,103,617,441","$175,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group,&nbsp;Corporate Venture Capital","822","1,097","2","438","2","195","3","64","$4,552,270,411","2,684","0","1","701,053.05","1.38","1.38","2.11"
"Ohio Companies With Less Than $1B in Revenue (Top 10K)","9,517","992","55","670","The top 10,000 companies and startups in Ohio with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 9:20 AM","Active, Company, Location, Revenue Range","—","—","—","—","Ohio, United States, North America","State/Region","—","—","—","—","—","—","$500M to $1B","1,740","633","Feb 16, 1982","386","8,846","4%","1%","67","Mar 6, 2004","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Series A","2,002","1","$18,484,344,464","$1,005,429","$12,159,004,373","Feb 16, 1982","$5,132,998,101","$272,000,000","$28,779,291,825","$1,820,821,821","4%","392","799","$29,248,617,441","$218,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group,&nbsp;Corporate Venture Capital","832","1,109","2","443","2","196","2","64","$4,552,270,411","2,711","0","1","699,233.18","1.38","1.38","2.11"
"Pennsylvania Companies With More Than $1M in Revenue (Top 10K)","9,807","974","85","671","The top 10,000 companies and startups in Pennsylvania with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 10:08 AM","Active, Company, Location, Revenue Range","—","—","—","—","Pennsylvania, United States, North America","State/Region","—","—","—","—","—","—","$1M to $10M","2,770","1,031","Oct 18, 1982","413","9,023","4%","1%","160","Oct 2, 2004","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","3,080","2","$56,189,119,786","$2,000,000","$32,013,199,319","Oct 18, 1982","$12,221,110,634","$124,000,000","$49,534,736,927","$749,575,940","4%","471","1,645","$90,008,448,896","$305,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Micro VC,&nbsp;University Program,&nbsp;Corporate Venture Capital","1,895","2,794","2","766","1","594","2","100","$31,610,059,868","3,331","3","6","655,230.85","1.27","1.27","2.06"
